id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm1129394,The Princess Switch 3: Romancing the Star,MOVIE,2021,PG,106,"['romance', 'comedy', 'family', 'drama']",['US'],,tt14731142,5.5,6684,16.652,6.9
tm1246878,Saakini Daakini,MOVIE,2022,,115,"['comedy', 'action']","['IN', 'KR']",,tt12874984,6,766,1.988,5.4
ts254956,So Not Worth It,SHOW,2021,TV-14,32,"['drama', 'comedy']",['KR'],1,tt13186480,7,1220,14.563,7.9
tm1000599,The Last Forest,MOVIE,2021,,74,"['drama', 'documentation']",['BR'],,tt14029622,7.3,548,1.408,6.692
tm1174920,Jeff Foxworthy: The Good Old Days,MOVIE,2022,,60,"['comedy', 'documentation']",[],,tt18314220,6.3,493,3.841,6.8
tm1137119,Image of Victory,MOVIE,2021,,128,"['drama', 'history', 'war']",['IL'],,tt14556392,6.9,486,2.92,2
ts346132,Only for Love,SHOW,2022,TV-MA,64,['drama'],['BR'],1,tt15847542,7.8,115,6.85,7
tm1179526,Fast & Feel Love,MOVIE,2022,,132,"['action', 'comedy', 'drama', 'romance', 'sport', 'thriller']",['TH'],,tt18357588,6.9,1142,26.976,7
tm1056138,Goodbye,MOVIE,2022,,130,"['drama', 'family', 'comedy']",[],,tt14438964,6.8,8738,,
tm1021250,Bant̼ Mama,MOVIE,2022,,77,['drama'],['DO'],,tt13834196,6.3,145,21.276,5.3
